"Market","Station","Channel.RF.","Year","Power.kW","Location","Latitude","Longitude","Year.Start","Year.End"
"Beaumont & Port Arthur, TX","KBTV-TV","4 (40)","2012",1000,"30.155917; -93.986639",30.155917,-93.986639,2012,NA
"Beaumont & Port Arthur, TX","KFDM","6 (21)","2012",350,"30.140167; -93.979000",30.140167,-93.979,2012,NA
"El Paso, TX Las Cruces, NM","KDBC-TV","4 (18)","2013",363,"31.805250; -106.483556",31.80525,-106.483556,2013,NA
"El Paso, TX Las Cruces, NM","KFOX-TV","14 (15)","2013",1000,"31.81500; -106.48917",31.815,-106.48917,2013,NA
"Harlingen, TX & the Rio Grande Valley","KGBT-TV","4 (31)","2013",1000,"26.14917; -97.822000",26.14917,-97.822,2013,NA
"San Angelo, TX","KTXE-LD","38 (38)","2017",NA,"",NA,NA,2017,NA
"San Antonio - Kerrville, TX","KMYS","35 (32)","2001",1000,"29.61056; -98.89250",29.61056,-98.8925,2001,NA
"San Antonio - Kerrville, TX","WOAI-TV","4 (48)","2012",905,"29.26972; -98.26528",29.26972,-98.26528,2012,NA
"San Antonio - Kerrville, TX","KABB","29 (30)","1997",1000,"29.29111; -98.27000",29.29111,-98.27,1997,NA
"Salt Lake City, UT","KUTV","2 (34)","2012",423,"40.65917; -112.20194",40.65917,-112.20194,2012,NA
"Salt Lake City, UT","KJZZ-TV","14 (46)","2016",200,"40.65917; -112.20194",40.65917,-112.20194,2016,NA
"St. George, UT","KMYU","12 (9)","2012",3.2,"37.06333; -113.57306",37.06333,-113.57306,2012,NA
"Bristol, VA - Greeneville - Johnson City - Kingsport, TN","WCYB-TV","5 (5)","2017",29.9,"36.449500; -82.108000",36.4495,-82.108,2017,NA
"Bristol, VA - Greeneville - Johnson City - Kingsport, TN","WEMT","39 (38)","2017",1000,"36.449500; -82.107972",36.4495,-82.107972,2017,NA
"Lynchburg & Roanoke, VA","WSET-TV","13 (13)","2014",28.7,"37.315167; -79.634750",37.315167,-79.63475,2014,NA
"Norfolk, VA & Hampton Roads","WTVZ-TV","33 (33)","1996",590,"36.808833; -76.503139",36.808833,-76.503139,1996,NA
"Richmond, VA","WRLH-TV","35 (26)","1998",800,"37.51250; -77.60139",37.5125,-77.60139,1998,NA
"Seattle & Tacoma, WA","KOMO-TV","4 (38)","2013",810,"47.6321398; -122.3539424",47.6321398,-122.3539424,2013,NA
"Seattle & Tacoma, WA","KUNS-TV","51 (50)","2013",240,"47.504639; -121.968944",47.504639,-121.968944,2013,NA
"Yakima, WA Pasco & Kennewick, WA","KIMA-TV","29 (33)","2013",100,"46.532722; -120.510222",46.532722,-120.510222,2013,NA
"Yakima, WA Pasco & Kennewick, WA","KEPR-TV","19 (18)","2013",32.43,"46.097361; -119.192611",46.097361,-119.192611,2013,NA
"Yakima, WA Pasco & Kennewick, WA","KUNW-CD","2 (30)","2013",15,"46.527778; -120.551667",46.527778,-120.551667,2013,NA
"Yakima, WA Pasco & Kennewick, WA","KVVK-CD","15 (15)","2013",NA,"",NA,NA,2013,NA
"Yakima, WA Pasco & Kennewick, WA","KORX-CD","16","2013",NA,"",NA,NA,2013,NA
"Charleston & Huntington, WV","WCHS-TV","8 (41)","1997",475,"38.407972; -81.903444",38.407972,-81.903444,1997,NA
"Charleston & Huntington, WV","WVAH-TV","11 (19)","1994",475,"38.407972; -81.903444",38.407972,-81.903444,1994,NA
"Green Bay, WI & the Fox Cities","WLUK-TV","11 (11)","2014",40,"44.40889; -87.99194",44.40889,-87.99194,2014,NA
"Green Bay, WI & the Fox Cities","WCWF","14 (21)","2014",800,"44.33361; -87.98222",44.33361,-87.98222,2014,NA
"Madison, WI","WMSN-TV","47 (49)","2002",310,"43.05583; -89.53500",43.05583,-89.535,2002,NA
"Milwaukee, WI","WVTV","18 (18)","2000",745,"43.096167; -87.90417",43.096167,-87.90417,2000,NA
"Milwaukee, WI","WCGV-TV","24 (25)","1995",1000,"43.096028; -87.904250",43.096028,-87.90425,1995,NA
"Anniston, AL","WJSU-TV","40 (9)","2014-2015",NA,"",NA,NA,2014,2015
"Tuscaloosa, AL","WCFT-TV","33 (33)","2014-2015",NA,"",NA,NA,2014,2015
"Stockton - Sacramento, CA","KOVR","13 (25)","1997-2005",1000,"38.24000; -121.50083",38.24,-121.50083,1997,2005
"Colorado Springs - Pueblo, CO","KXRM-TV","21 (22)","2013-2014",51,"38.745389; -104.860889",38.745389,-104.860889,2013,2014
"Colorado Springs - Pueblo, CO","KXTU-LD","57 (20)","2013-2014",NA,"",NA,NA,2013,2014
"St. Petersburg - Tampa","WTTA","38 (32)","1991-2014",1000,"27.84250; -82.262528",27.8425,-82.262528,1991,2014
"Tallahassee, FL - Thomasville, GA","WTXL-TV","27 (27)","2001-2006",1000,"30.66833; -83.96944",30.66833,-83.96944,2001,2006
"Idaho Falls - Pocatello","KIDK","3 (36)","2013",200,"43.497389; -112.664639",43.497389,-112.664639,2013,2013
"Idaho Falls - Pocatello","KXPI-LD","34 (34)","2013",5.2,"42.866111; -112.513333",42.866111,-112.513333,2013,2013
"Bloomington - Indianapolis","WIIB","63 (27)","1988-1997",NA,"",NA,NA,1988,1997
"Bloomington - Indianapolis","WTTV","4 (48)","1997-2002",870,"39.40750; -86.14778",39.4075,-86.14778,1997,2002
"Kokomo, Indiana","WTTK","29 (29)","1997-2002",NA,"",NA,NA,1997,2002
"Springfield - Holyoke, MA","WGGB-TV","40 (40)","1998-2007",460,"42.241667; -72.649167",42.241667,-72.649167,1998,2007
"New Bedford, MA - Providence, RI","WLWC","28 (22)","2012-2013",350,"41.777333; -70.927556",41.777333,-70.927556,2012,2013
"Lansing, Michigan","WLAJ","53 (51)","2012-2013",483.3,"42.42028; -84.52361",42.42028,-84.52361,2012,2013
"Marquette, Michigan","WLUC-TV","6 (35)","2013-2016",63,"46.336833; -87.849083",46.336833,-87.849083,2013,2016
"Kansas City, Missouri","KSMO-TV","62 (47)","1996-2005",1000,"39.090500; -94.472000",39.0905,-94.472,1996,2005
"Plattsburgh, NY - Burlington, VT","WPTZ","5 (14)","1997-1998",650,"44.52556; -72.81556",44.52556,-72.81556,1997,1998
"Syracuse, NY","WNYS-TV","43 (44)","",680,"42.88056; -76.20000",42.88056,-76.2,NA,NA
"Syracuse, NY","WSYT","68 (19)","1998-2013",621,"42.88056; -76.20000",42.88056,-76.2,1998,2013
"Harrisburg - Lancaster - Lebanon - York","WLYH-TV","15 (23)","",NA,"",NA,NA,NA,NA
"Harrisburg - Lancaster - Lebanon - York","WHTM-TV","27 (10)","2014",16.2,"40.31611; -76.95028",40.31611,-76.95028,2014,2014
"Charleston, SC","WCIV","4 (34)","2014-2015",NA,"",NA,NA,2014,2015
"Greenville, Tennessee (Tri-Cities, TN-VA)","WEMT","39 (38)","2000-2006",1000,"36.449500; -82.107972",36.4495,-82.107972,2000,2006
"Jacksonville - Tyler - Longview, TX","KETK-TV","56 (22)","1998-2004",1000,"32.06111; -95.31389",32.06111,-95.31389,1998,2004
"Hartford, VT - Hanover, N.H.","WNNE","31 (25)","1997-1998",117,"43.44333; -72.45417",43.44333,-72.45417,1997,1998
