"DMA Code","Rank","Designated Market Area (DMA)","TV Homes","% of US"
"762","164","Missoula","115,020","0.100"
"686","60","Mobile-Pensacola (Ft Walt)","528,320","0.461"
"628","137","Monroe-El Dorado","170,890","0.149"
"828","125","Monterey-Salinas","226,630","0.198"
"698","123","Montgomery-Selma","230,420","0.201"
"570","102","Myrtle Beach-Florence","291,680","0.254"
"659","29","Nashville","1,011,570","0.882"
"622","50","New Orleans","641,620","0.559"
"501","1","New York","7,348,620","6.407"
"544","42","Norfolk-Portsmth-Newpt Nws","717,170","0.625"
"740","209","North Platte","14,370","0.013"
"633","143","Odessa-Midland","163,450","0.143"
"650","41","Oklahoma City","722,140","0.630"
"652","74","Omaha","416,210","0.363"
"534","18","Orlando-Daytona Bch-Melbrn","1,519,570","1.325"
"631","200","Ottumwa-Kirksville","44,690","0.039"
"632","83","Paducah-Cape Girard-Harsbg","369,390","0.322"
"804","146","Palm Springs","158,010","0.138"
"656","154","Panama City","141,740","0.124"
"597","194","Parkersburg","60,620","0.053"
"675","118","Peoria-Bloomington","235,690","0.206"
"504","4","Philadelphia","2,942,800","2.566"
"753","12","Phoenix (Prescott)","1,890,100","1.648"
"508","23","Pittsburgh","1,160,220","1.012"
"820","25","Portland, OR","1,143,670","0.997"
"500","81","Portland-Auburn","383,700","0.335"
"552","206","Presque Isle","26,880","0.023"
"521","52","Providence-New Bedford","616,280","0.537"
"717","170","Quincy-Hannibal-Keokuk","99,340","0.087"
"560","24","Raleigh-Durham (Fayetvlle)","1,153,580","1.006"
"764","172","Rapid City","99,170","0.086"
"811","112","Reno","260,630","0.227"
"556","55","Richmond-Petersburg","564,510","0.492"
"573","67","Roanoke-Lynchburg","439,620","0.383"
"538","76","Rochester, NY","404,170","0.352"
"611","153","Rochestr-Mason City-Austin","141,920","0.124"
"610","138","Rockford","170,480","0.149"
"862","20","Sacramnto-Stkton-Modesto","1,379,770","1.203"
"576","144","Salisbury","162,050","0.141"
"770","34","Salt Lake City","916,960","0.799"
"661","196","San Angelo","56,680","0.049"
"641","31","San Antonio","938,660","0.818"
"825","28","San Diego","1,065,700","0.929"
"807","6","San Francisco-Oak-San Jose","2,488,090","2.169"
"855","124","SantaBarbra-SanMar-SanLuOb","226,940","0.198"
"507","91","Savannah","340,050","0.296"
"819","14","Seattle-Tacoma","1,808,530","1.577"
"657","162","Sherman-Ada","126,050","0.110"
"612","82","Shreveport","371,760","0.324"
"624","149","Sioux City","150,790","0.131"
"725","109","Sioux Falls(Mitchell)","263,000","0.229"
"588","96","South Bend-Elkhart","313,210","0.273"
