City of license / Market,Station,ChannelTV (RF),Year acquired,DT1 affiliation,DT2 affiliation,DT3 affiliation,DT4 affiliation
"Traverse City - Cadillac, MICheboygan - Sault Ste. Marie, MI",WGTU  1,29 (29),2013,ABC,Comet,,NBC
"Traverse City - Cadillac, MICheboygan - Sault Ste. Marie, MI",WGTQ  1,2013,ABC,8 (8),,,
"Minneapolis & St. Paul, MN",WUCW,23 (22),1998,The CW,Comet,Charge!,TBD
"Cape Girardeau, MO - Paducah, KY -Harrisburg, IL",KBSI,23 (22),1998,Fox,MyNetworkTV,Comet,
"Cape Girardeau, MO - Paducah, KY -Harrisburg, IL",WDKA,49 (49),,MyNetworkTV,Charge!,TBD,GetTV
"Columbia - Jefferson City, MO",KRCG,13 (12),2013,CBS,Comet,Charge!,TBD
"Hannibal, MO - Quincy, IL",KHQA-TV,7 (7),2013,CBS,ABC,Comet,
"Kirksville, MO - Ottumwa, IA",KTVO,3 (33),2013,ABC,CBS,Comet,
"St. Louis, MO",KDNL-TV,30 (31),1997,ABC,TBD,Charge!,
"Missoula, MT",KECI-TV,13 (13),2017,NBC,MeTV,Movies,
"Kalispell, MT",KCFW-TV,9 (9),NBC,MeTV,Movies,,2017
"Butte, MT",KTVM-TV,6 (6),NBC,MeTV,Movies,,2017
"Bozeman, MT",KDBZ-CD,42 (42),NBC,MeTV,Movies,,2017
"Hayes Center, NE",KWNB-TV,6 (6),2016,ABC,Fox,,
"Kearney - Hastings, NE",KHGI-TV,13 (13),2016,ABC,Fox,TBD,
"Lincoln, NE",KFXL-TV,51 (51),2016,Fox,,,
"North Platte, NE",KHGI-CD,13 (13),2016,ABC,,,
"Omaha, NE",KPTM,42 (43),2013,Fox,MyNetworkTV & This TV,Comet,
"Omaha, NE",KXVO,15 (39),,The CW,TBD,Charge!,
"Elko, NV",KENV-DT,10 (10),,NBC,,,
"Las Vegas, NV",KSNV,3 (22),1997,NBC,Estrella TV,Charge!,
"Las Vegas, NV",KVCW,33 (29),2000,The CW,MyNetworkTV,TBD,This TV
"Reno, NV",KRNV-DT,4 (7),,NBC,This TV,TBD,
"Reno, NV",KRXI-TV,11 (44),2013,Fox,Charge!,Grit,
"Reno, NV",KAME-TV,21 (20),2013,MyNetworkTV,MeTV,Comet,
"Buffalo, NY",WUTV,29 (14),1996,Fox,ZUUS Country,Grit,
"Buffalo, NY",WNYO-TV,49 (49),2001,MyNetworkTV,GetTV,Comet,
"Rochester, NY",WHAM-TV  2,13 (13),2013,ABC,The CW,Charge!,
"Rochester, NY",WUHF,31 (28),1995,Fox,Antenna TV,Comet,TBD
"Schenectady - Albany - Troy, NY",WRGB,6 (6),2012,CBS,TBD,Comet,
"Schenectady - Albany - Troy, NY",WCWN,45 (43),2012,The CW,Charge!,CBS,
"Syracuse, NY",WSTM-TV,3 (24),2013,NBC,The CW,Comet,
"Syracuse, NY",WTVH,5 (47),,CBS,Charge!,TBD,
"Syracuse, NY",WSTQ-LP,14 (3.2),2013,The CW,,,
"Asheville, NCGreenville & Spartanburg, SC",WLOS,13 (13),1997,ABC,MyNetworkTV,Antenna TV,
"Asheville, NCGreenville & Spartanburg, SC",WMYA-TV  1,40 (14),1997,MyNetworkTV,Comet,TBD,Charge!
"Greenville - New Bern - Morehead City, NC",WFXI,8 (8),2017,Fox,Bounce,,
"Greenville - New Bern - Morehead City, NC",WYDO,14 (47),Fox,Bounce,,,2017
"Greenville - New Bern - Morehead City, NC",WCTI-TV,12 (12),2017,ABC,Decades,Movies!,
"Raleigh - Durham, NC",WLFL,22 (27),1994,The CW,ASN,,
"Raleigh - Durham, NC",WRDC,28 (28),1995,MyNetworkTV,Grit,Comet,
"Winston-Salem - Greensboro - High Point, NC",WXLV-TV,45 (29),1996,ABC,ASN,Grit,
"Winston-Salem - Greensboro - High Point, NC",WMYV,48 (33),2001,MyNetworkTV,GetTV,Comet,
"Cincinnati, OH",WKRC-TV,12 (12),2012,CBS,The CW,ASN,
"Cincinnati, OH",WSTR-TV,64 (33),1995,MyNetworkTV,Antenna TV,Comet,TBD
"Columbus & Chillicothe, OH",WSYX,6 (48),1997,ABC,MyNetworkTV & This TV,Antenna TV,
"Columbus & Chillicothe, OH",WTTE **,28 (36),1984,Fox,GetTV,ASN,
"Columbus & Chillicothe, OH",WWHO,53 (46),2011,The CW,Grit,Comet,
"Dayton, OH",WKEF,22 (51),1998,ABC,ASN,Antenna TV,Grit
"Dayton, OH",WRGT-TV  1,45 (30),2001,Fox,MyNetworkTV & This TV,Comet,Charge!
"Steubenville, OH & Wheeling, WV",WTOV-TV,9 (9),2013,NBC,Fox,MeTV,
"Toledo, OH",WNWO-TV,24 (49),2013,NBC,ASN,Comet,TBD
"Oklahoma City, OK",KOKH-TV,25 (24),2003,Fox,Charge!,WeatherNation TV,
"Oklahoma City, OK",KOCB,34 (33),1996,The CW,TBD,Comet,
"Tulsa, OK",KTUL,8 (10),2014,ABC,Comet,Antenna TV,
"Eugene, ORCoos Bay, ORRoseburg, OR",KVAL-TV,13 (25),2013,CBS,TBD,Charge!,
"Eugene, ORCoos Bay, ORRoseburg, OR",KCBY-TV,2013,CBS,TBD,Charge!,,11 (21)
"Eugene, ORCoos Bay, ORRoseburg, OR",KPIC  11,2013,CBS,TBD,Charge!,,4 (19)
"Eugene, ORCoos Bay, ORRoseburg, OR",KMTR,16 (17),,NBC,CW+,Comet,
"Eugene, ORCoos Bay, ORRoseburg, OR",KMCB,,NBC,CW+,Comet,,23 (22)
"Eugene, ORCoos Bay, ORRoseburg, OR",KTCW,,NBC,CW+,Comet,,46 (45)
"Medford, OR",KTVL,10 (10),2012,CBS,CW+,Comet,TBD
"Portland, OR",KATU,2 (43),2013,ABC,MeTV,Comet,
"Portland, OR",KUNP,16 (16),2013,Univision,TBD,Charge!,
"Harrisburg - Lancaster - Lebanon - York, PA",WHP-TV,21 (21),2012,CBS,MyNetworkTV,The CW,
"Johnstown & Altoona, PA",WJAC-TV,6 (34),2013,NBC,MeTV,Comet,Grit
"Pittsburgh, PA",WPGH-TV,53 (43),1991,Fox,Antenna TV,Charge!,
"Pittsburgh, PA",WPNT **,22 (42),2000,MyNetworkTV,ASN,Comet,TBD
"Scranton - Wilkes-Barre, PA",WOLF-TV,56 (45),2014,Fox,The CW,MyNetworkTV,
"Scranton - Wilkes-Barre, PA",WQMY,53 (29),2014,MyNetworkTV,Fox,The CW,
"Scranton - Wilkes-Barre, PA",WSWB,38 (31),2014,The CW,MeTV,Comet,ASN
"Providence, RI & New Bedford, MA",WJAR,10 (51),2014,NBC,MeTV,Comet,TBD
"Charleston, SC",WTAT-TV  1,24 (24),1995,Fox,Justice Network,GetTV,
"Charleston, SC",WCIV,36 (36),1998,MyNetworkTV,ABC,MeTV,
"Columbia, SC",WACH,57 (48),2013,Fox,ASN,Comet TV,TBD
"Florence & Myrtle Beach, SC",WPDE-TV,15 (16),2013,ABC,weather,Comet,
"Florence & Myrtle Beach, SC",WWMB,21 (21),2013,The CW,CW+,ASN,
"Hardeeville, SC & Savannah, GA",WTGS,28 (28),2014,Fox,Comet,Antenna TV,TBD
"Chattanooga, TN",WTVC,9 (9),2012,ABC,Fox,WeatherNation TV,
"Chattanooga, TN",WDSI-TV,61 (40),2015,This TV,Comet,,
"Chattanooga, TN",WFLI-TV,53 (42),2015,The CW,MyNetworkTV,MeTV,
"Nashville, TN",WZTV,17 (15),1994,Fox,WeatherNation TV,Antenna TV,
"Nashville, TN",WUXP,30 (21),2000,MyNetworkTV,GetTV,Comet,
"Nashville, TN",WNAB,58 (23),,The CW,ASN,Grit,
"Abilene, TX",KTXS-TV,12 (12),2017,ABC,The CW,MeTV,
"Abilene, TX",KTES-LD,40 (40),2017,MeTV,,,
"Amarillo, TXClovis, NM",KVII-TV,7 (7),2013,ABC,CW+,Grit,
"Amarillo, TXClovis, NM",KVIH-TV,2013,ABC,CW+,Grit,,12 (12)
"Austin, TX",KEYE-TV,42 (43),2012,CBS,Telemundo,,
"Beaumont & Port Arthur, TX",KBTV-TV,4 (40),2012,Fox,TBD,Comet,
"Beaumont & Port Arthur, TX",KFDM,6 (21),2012,CBS,CW+,Charge!,
"El Paso, TXLas Cruces, NM",KDBC-TV,4 (18),2013,CBS,MyNetworkTV & TBD,MeTV,
"El Paso, TXLas Cruces, NM",KFOX-TV,14 (15),2013,Fox,Comet TV,Charge!,
"Harlingen, TX & the Rio Grande Valley",KGBT-TV,4 (31),2013,CBS,Azteca America,Comet,
"San Angelo, TX",KTXE-LD,38 (38),2017,ABC,The CW,MeTV,
"San Antonio - Kerrville, TX",KMYS,35 (32),2001,The CW,ASN,,
"San Antonio - Kerrville, TX",WOAI-TV,4 (48),2012,NBC,Antenna TV,,
"San Antonio - Kerrville, TX",KABB,29 (30),1997,Fox,Comet,TBD,
"Salt Lake City, UT",KUTV,2 (34),2012,CBS,MyNetworkTV,,
"Salt Lake City, UT",KJZZ-TV,14 (46),2016,Independent,Comet,TBD,Charge!
"St. George, UT",KMYU,12 (9),2012,MyNetworkTV,CBS,,
"Bristol, VA - Greeneville - Johnson City -Kingsport, TN",WCYB-TV,5 (5),2017,NBC,The CW,Decades,
"Bristol, VA - Greeneville - Johnson City -Kingsport, TN",WEMT,39 (38),2017,Fox,Movies!,,
"Lynchburg & Roanoke, VA",WSET-TV,13 (13),2014,ABC,ASN,Comet,TBD
"Norfolk, VA & Hampton Roads",WTVZ-TV,33 (33),1996,MyNetworkTV,ASN,Comet,TBD
"Richmond, VA",WRLH-TV,35 (26),1998,Fox,MyNetworkTV & TBD,Comet,Charge!
"Seattle & Tacoma, WA",KOMO-TV,4 (38),2013,ABC,Comet,Charge!,
"Seattle & Tacoma, WA",KUNS-TV,51 (50),2013,Univision,TBD,,
"Yakima, WAPasco & Kennewick, WA",KIMA-TV,29 (33),2013,CBS,CW+,Grit,
"Yakima, WAPasco & Kennewick, WA",KEPR-TV,2013,CBS,CW+,Grit,,19 (18)
"Yakima, WAPasco & Kennewick, WA",KUNW-CD,2 (30),2013,Univision,,,
"Yakima, WAPasco & Kennewick, WA",KVVK-CD,2013,Univision,,,,15 (15)
"Yakima, WAPasco & Kennewick, WA",KORX-CD,2013,Univision,,,,16
"Charleston & Huntington, WV",WCHS-TV,8 (41),1997,ABC,Antenna TV,Charge!,TBD
"Charleston & Huntington, WV",WVAH-TV  1,11 (19),1994,Fox,ASN,Comet,
"Green Bay, WI & the Fox Cities",WLUK-TV,11 (11),2014,Fox,Antenna TV,TBD,
"Green Bay, WI & the Fox Cities",WCWF,14 (21),2014,The CW,Comet,Charge!,
"Madison, WI",WMSN-TV,47 (49),2002,Fox,Comet,Grit,
"Milwaukee, WI",WVTV,18 (18),2000,The CW,GetTV,,
"Milwaukee, WI",WCGV-TV,24 (25),1995,MyNetworkTV,Comet,Grit,
